date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2022-08-01,Chainat ,-0.6861995348041173,-1.2554202168806456,-0.6531121391271318,-0.32309384790498363,-0.741633372336717,-1.030247877964709,-0.279453535463399,1.0,0.0,0.0,0.0,0.0
2022-08-01,Chaiyaphum ,-0.4535846246620402,-0.09144790761435989,-0.42902824674313644,-0.1384400208001508,-0.07596054449338646,0.09463507554149317,-0.10035864342194596,0.0,0.0,1.0,0.0,0.0
2022-08-01,Chanthaburi ,0.7872065022121278,0.18531413334383123,0.8304358909918679,0.2822973631414069,0.2833627253838621,0.8458448063125567,0.3121985499713377,0.0,1.0,0.0,0.0,0.0
2022-08-01,Chumphon ,0.3514770463705057,-0.12687051056538684,0.3874463825998208,0.04122321123009899,-0.15459340970144012,0.7264540561340348,0.07902551587412002,0.0,0.0,0.0,0.0,1.0
2022-08-01,Kalasin ,-0.9214584891771844,0.2559588639296343,-0.9136587226480126,-0.48860474093402956,0.05158703352799018,-0.7504938612021499,-0.45263062218471817,0.0,0.0,1.0,0.0,0.0
2022-08-01,Kamphaeng Phet ,-0.5003793521972242,0.37960961932430715,-0.49164769087516735,-0.4029947781275738,0.5921866439153719,-0.50190909890242,-0.3837834638071539,0.0,0.0,0.0,1.0,0.0
2022-08-01,Krabi ,2.2746614462710415,2.177019820311414,2.156783076564117,0.46733533480311273,2.0369156129232286,0.8059364188847333,0.25101772487185164,0.0,0.0,0.0,0.0,1.0
2022-08-01,Lampang ,0.6779199746759821,0.7806922171790891,0.7009843620974637,0.42845461201131757,0.6038441913200526,0.0711134009259523,0.44944991360608394,0.0,0.0,0.0,1.0,0.0
2022-08-01,Lamphun ,-0.44654938486529516,0.4564276952667552,-0.4408866458943392,0.05772859541480165,0.6334351874789894,-0.8585554680119303,0.07889125659944811,0.0,0.0,0.0,1.0,0.0
2022-08-01,Loei ,0.42026753356598,0.37485990506555855,0.44990338142551356,0.5708385372695552,0.2691571373099658,1.017821765874332,0.5975145333099832,0.0,0.0,1.0,0.0,0.0
2022-08-01,Lopburi ,0.8266586778288701,-0.2959860572711965,0.874925715503321,1.9120248075352746,0.022907173072680004,0.39250500628651797,1.9076268303241093,1.0,0.0,0.0,0.0,0.0
2022-08-01,Maha Sarakham ,-1.001359644915434,0.3350220196931489,-1.0006343354582898,-0.7155919873687823,0.32708377747572964,-0.6228515190102786,-0.6899090633154621,0.0,0.0,1.0,0.0,0.0
2022-08-01,Nakhon Nayok ,0.47113201288456286,-0.5477988725220048,0.5119607875593675,0.4234910326247865,-0.6613142620452311,0.9619218703687007,0.45931690781827,0.0,1.0,0.0,0.0,0.0
